Net Range,Organization Name,Machines Responding
99.86.0.0 - 99.86.255.255,"Amazon.com, Inc.",57
34.64.0.0 - 34.127.255.255,Google LLC,660
104.16.0.0 - 104.31.255.255,"Cloudflare, Inc.",929
52.48.0.0 - 52.51.255.255,Amazon Data Services Ireland Limited,33
91.158.0.0 - 91.158.255.255,Elisa Oyj,1
186.128.0.0/14,Telefonica de Argentina,13
119.239.0.0 - 119.239.255.255,BIGLOBE Inc.,1
192.252.144.0 - 192.252.159.255,SureSupport LLC,2
38.55.128.0 - 38.55.255.255,PEG TECH INC,21
175.199.182.0 - 175.199.182.255 (/24),Korea Telecom,1
198.23.48.0 - 198.23.63.255,LiquidNet US LLC,6
70.160.0.0 - 70.191.255.255,Cox Communications Inc.,15
205.162.40.0 - 205.162.47.255,Omeda Communications,4
23.37.48.0 - 23.37.63.255,"Akamai International, BV",3
34.192.0.0 - 34.255.255.255,Amazon Technologies Inc.,448
147.46.0.0 - 147.47.255.255,Asia Pacific Network Information Centre,83
192.31.128.0 - 192.31.143.255,DMS,1
91.132.252.0 - 91.132.252.255,NEXYLAN,1
18.32.0.0 - 18.255.255.255,Amazon Technologies Inc.,394
23.192.0.0 - 23.223.255.255,"Akamai Technologies, Inc.",1311
34.4.5.0 - 34.63.255.255,Google LLC,214
45.90.104.0 - 45.90.107.255,Zenex 5ive Limited,1
18.168.0.0 - 18.171.255.255,Amazon Data Services UK,28
50.128.0.0 - 50.255.255.255,"Comcast Cable Communications, LLC",52
164.132.213.136 - 164.132.213.143,Piedboeuf Pierre-Yves,1
23.0.0.0 - 23.15.255.255,"Akamai Technologies, Inc.",529
29.0.0.0 - 29.255.255.255,DoD Network Information Center,835
115.72.0.0 - 115.79.255.255,VIETTEL-VN,9
108.192.0.0 - 108.255.255.255,AT&T Corp.,16
67.8.0.0 - 67.11.255.255,Charter Communications Inc,3
183.181.160.0 - 183.181.167.255,DREAM TRAIN INTERNET,1
54.212.0.0 - 54.213.255.255,"Amazon.com, Inc.",11
96.35.128.0 - 96.35.159.255,Charter Communications,1
40.74.0.0 - 40.125.127.255,Microsoft Corporation,93
221.7.196.0 - 221.7.197.255,CNC Group CHINA169 Guangxi Province Network,1
199.68.216.0 - 199.68.219.255,IPXO LLC,3
38.63.128.0 - 38.63.255.255,PEG TECH INC,32
